First Accord,Gender,avg_r_value,total_r_count
Vanilla,Male,4.110927419354839,29948.0
Sweet,Male,4.070846153846154,11603.0
Amber,Male,4.066280276816609,60734.0
Powdery,Male,4.046868686868687,9272.0
Leather,Male,4.035,19761.0
Warm Spicy,Male,4.032709030100334,80898.0
Fruity,Male,4.009424920127795,19870.0
Woody,Male,3.9812622601279317,194174.0
Musky,Male,3.979135135135135,10840.0
Citrus,Male,3.9609769268532156,167655.0
Aromatic,Male,3.941757754800591,203783.0
Fresh Spicy,Male,3.9330416666666665,67330.0
Green,Male,3.9209055118110236,20621.0
Aquatic,Male,3.8725252525252523,10220.0
