Element,Count
Woody,29500
Aromatic,22659
Warm Spicy,20178
Citrus,20076
Powdery,19150
Fresh Spicy,19146
Amber,17349
Sweet,15972
Musky,13481
Floral,10712
Green,10325
Vanilla,10120
Fruity,9647
White Floral,9199
Earthy,8876
Fresh,8215
Balsamic,7177
Rose,6606
Patchouli,6258
Animalic,5346
Leather,5031
Lavender,4360
Herbal,4110
Oud,4027
Soft Spicy,3789
Smoky,3367
Mossy,2931
Aquatic,2787
Iris,2480
Violet,2218
Tobacco,2024
Cinnamon,1995
Ozonic,1935
Yellow Floral,1862
Marine,1668
Lactonic,1362
Tropical,1351
Honey,1154
Metallic,1054
Nutty,986
,936
Salty,928
Tuberose,897
Almond,883
Caramel,880
Coconut,774
Coffee,738
Cacao,713
Aldehydic,688
Anis,678
Conifer,665
Chocolate,537
Rum,514
Cherry,332
Mineral,326
Camphor,310
Soapy,263
Whiskey,261
Cannabis,176
Bitter,168
Beeswax,152
Savory,136
Sour,108
Wine,97
Oily,94
Sand,86
Champagne,72
Alcohol,61
Terpenic,50
Vodka,41
Coca-Cola,29
Clay,22
Paper,19
Asphault,14
Plastic,11
Gasoline,10
Vinyl,9
Rubber,6
Hot Iron,5
Industrial Glue,4
Tennis Ball,4
Pear,4
Bacon,2
Sake,2
Meat,2
Brown Scotch Tape,1
Bbq,1
Foresty,1
Milky,1
Wet Plaster,1
Gourmand,1
