,Crm Cd Desc
VEHICLE - STOLEN,107349
BATTERY - SIMPLE ASSAULT,74623
BURGLARY FROM VEHICLE,60128
THEFT OF IDENTITY,59801
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",58702
BURGLARY,57655
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53321
THEFT PLAIN - PETTY ($950 & UNDER),50097
INTIMATE PARTNER - SIMPLE ASSAULT,46679
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),38392
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),35048
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",32828
ROBBERY,32104
SHOPLIFTING - PETTY THEFT ($950 & UNDER),27462
VANDALISM - MISDEAMEANOR ($399 OR UNDER),24668
CRIMINAL THREATS - NO WEAPON DISPLAYED,19206
TRESPASSING,16324
BRANDISH WEAPON,14500
INTIMATE PARTNER - AGGRAVATED ASSAULT,12647
VIOLATION OF RESTRAINING ORDER,11737
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",8196
BIKE - STOLEN,7777
OTHER MISCELLANEOUS CRIME,6835
VIOLATION OF COURT ORDER,6363
"BUNCO, GRAND THEFT",6169
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),5279
ATTEMPTED ROBBERY,4820
OTHER ASSAULT,4244
"THEFT, PERSON",4141
BATTERY WITH SEXUAL CONTACT,4131
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",3946
"BURGLARY, ATTEMPTED",3940
VEHICLE - ATTEMPT STOLEN,3839
"RAPE, FORCIBLE",3721
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,3552
DOCUMENT FORGERY / STOLEN FELONY,3354
PICKPOCKET,3153
DISCHARGE FIREARMS/SHOTS FIRED,2720
CONTEMPT OF COURT,2718
ARSON,2547
BATTERY POLICE (SIMPLE),2539
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",2439
"BUNCO, PETTY THEFT",2023
EXTORTION,2021
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1736
SHOTS FIRED AT INHABITED DWELLING,1634
FAILURE TO YIELD,1624
CRIMINAL HOMICIDE,1560
DISTURBING THE PEACE,1509
SEXUAL PENETRATION W/FOREIGN OBJECT,1316
INDECENT EXPOSURE,1180
CHILD NEGLECT (SEE 300 W.I.C.),1175
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1068
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1066
CHILD ANNOYING (17YRS & UNDER),1029
RESISTING ARREST,1010
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,961
VIOLATION OF TEMPORARY RESTRAINING ORDER,922
THEFT FROM MOTOR VEHICLE - ATTEMPT,851
KIDNAPPING,800
THROWING OBJECT AT MOVING VEHICLE,790
ORAL COPULATION,716
LEWD CONDUCT,707
"BURGLARY FROM VEHICLE, ATTEMPTED",680
STALKING,664
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,614
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,527
UNAUTHORIZED COMPUTER ACCESS,521
THREATENING PHONE CALLS/LETTERS,482
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",474
THEFT PLAIN - ATTEMPT,470
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,468
BOMB SCARE,467
CHILD STEALING,453
PEEPING TOM,379
FALSE IMPRISONMENT,340
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",328
"BUNCO, ATTEMPT",322
"RAPE, ATTEMPTED",317
RECKLESS DRIVING,278
CHILD PORNOGRAPHY,275
CRUELTY TO ANIMALS,267
BATTERY ON A FIREFIGHTER,256
KIDNAPPING - GRAND ATTEMPT,232
PROWLER,201
DRIVING WITHOUT OWNER CONSENT (DWOC),178
FALSE POLICE REPORT,178
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",143
BOAT - STOLEN,140
PIMPING,136
PANDERING,136
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,117
COUNTERFEIT,117
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",110
PURSE SNATCHING,108
SHOPLIFTING - ATTEMPT,108
THEFT FROM PERSON - ATTEMPT,105
ILLEGAL DUMPING,93
"CREDIT CARDS, FRAUD USE ($950 & UNDER",92
LEWD/LASCIVIOUS ACTS WITH CHILD,87
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",76
DOCUMENT WORTHLESS ($200.01 & OVER),73
CONTRIBUTING,42
WEAPONS POSSESSION/BOMBING,41
DISHONEST EMPLOYEE - GRAND THEFT,37
DRUNK ROLL,34
DOCUMENT WORTHLESS ($200 & UNDER),28
CHILD ABANDONMENT,26
CONSPIRACY,24
TILL TAP - PETTY ($950 & UNDER),24
DISHONEST EMPLOYEE - PETTY THEFT,23
LYNCHING,22
INCITING A RIOT,22
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",22
TILL TAP - GRAND THEFT ($950.01 & OVER),16
PURSE SNATCHING - ATTEMPT,13
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",13
DISRUPT SCHOOL,13
GRAND THEFT / INSURANCE FRAUD,12
LYNCHING - ATTEMPTED,11
"DRUGS, TO A MINOR",11
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",9
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",9
"MANSLAUGHTER, NEGLIGENT",8
PETTY THEFT - AUTO REPAIR,8
BRIBERY,8
"PICKPOCKET, ATTEMPT",7
TELEPHONE PROPERTY - DAMAGE,7
BIGAMY,7
FAILURE TO DISPERSE,6
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),6
BLOCKING DOOR INDUCTION CENTER,6
BIKE - ATTEMPTED STOLEN,6
GRAND THEFT / AUTO REPAIR,6
"THEFT, COIN MACHINE - ATTEMPT",6
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),5
DISHONEST EMPLOYEE ATTEMPTED THEFT,4
FIREARMS RESTRAINING ORDER (FIREARMS RO),4
TRAIN WRECKING,1
