,Premis Desc
SINGLE FAMILY DWELLING,157054
STREET,130735
"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",110434
PARKING LOT,45273
SIDEWALK,37273
"VEHICLE, PASSENGER/TRUCK",26191
OTHER BUSINESS,20667
GARAGE/CARPORT,14070
DRIVEWAY,10938
PARKING UNDERGROUND/BUILDING,6826
OTHER RESIDENCE,6659
RESTAURANT/FAST FOOD,6544
OTHER PREMISE,5828
ALLEY,5558
PARK/PLAYGROUND,5308
YARD (RESIDENTIAL/BUSINESS),5135
DEPARTMENT STORE,4678
HOTEL,4512
MARKET,4199
"PORCH, RESIDENTIAL",3982
GAS STATION,3607
TRANSPORTATION FACILITY (AIRPORT),3120
BANK,3072
PUBLIC STORAGE,3070
OTHER/OUTSIDE,2911
OTHER STORE,2755
MTA BUS,2458
AUTOMATED TELLER MACHINE (ATM),2378
CONDOMINIUM/TOWNHOUSE,2358
CLOTHING STORE,2187
MOTEL,2018
HIGH SCHOOL,2001
BUS STOP,1858
HOSPITAL,1856
HEALTH SPA/GYM,1828
BAR/COCKTAIL/NIGHTCLUB,1800
CYBERSPACE,1776
OFFICE BUILDING/OFFICE,1771
MINI-MART,1707
NIGHT CLUB (OPEN EVENINGS ONLY),1699
DRUG STORE,1453
JUNIOR HIGH SCHOOL,1353
SHOPPING MALL (COMMON AREA),1326
LIQUOR STORE,1315
MAIL BOX,1253
BEACH,1180
LAUNDROMAT,1167
ELEMENTARY SCHOOL,1109
NURSING/CONVALESCENT/RETIREMENT HOME,1097
COLLEGE/JUNIOR COLLEGE/UNIVERSITY,1002
LA UNION STATION (NOT LINE SPECIFIC),989
WAREHOUSE,978
STORAGE SHED,929
ABANDONED BUILDING ABANDONED HOUSE,925
MISSIONS/SHELTERS,912
"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",888
CONSTRUCTION SITE,886
CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),859
TRANSIENT ENCAMPMENT,799
MEDICAL/DENTAL OFFICES,734
MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,734
AUTO REPAIR SHOP,696
TRANSITIONAL HOUSING/HALFWAY HOUSE,692
BAR/SPORTS BAR (OPEN DAY & NIGHT),684
"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",683
"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",673
GROUP HOME,654
"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",635
CELL PHONE STORE,621
PATIO*,602
WEBSITE,600
POLICE FACILITY,528
LIBRARY,445
BEAUTY/BARBER SHOP,411
BALCONY*,391
CAR WASH,365
SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,357
MTA - RED LINE - NORTH HOLLYWOOD,342
MTA - RED LINE - WESTLAKE/MACARTHUR PARK,324
MTA - RED LINE - 7TH AND METRO CENTER,320
SPECIALTY SCHOOL/OTHER,310
PROJECT/TENEMENT/PUBLIC HOUSING,301
DODGER STADIUM,276
THEATRE/MOVIE,274
APARTMENT/CONDO COMMON LAUNDRY ROOM,270
THE GROVE,270
"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",261
POST OFFICE,255
FREEWAY,239
"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",232
"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",222
MTA - RED LINE - UNION STATION,211
MUNICIPAL BUS LINE INCLUDES LADOT/DASH,206
CONVENTION CENTER,198
HIGH-RISE BUILDING,196
VACANT LOT,193
JEWELRY STORE,190
TAXI,185
COLISEUM,183
MTA - RED LINE - PERSHING SQUARE,179
TOBACCO SHOP,179
AUTO SUPPLY STORE*,177
NAIL SALON,170
HARDWARE/BUILDING SUPPLY,169
PRIVATE SCHOOL/PRESCHOOL,162
BEAUTY SUPPLY STORE,161
PHARMACY INSIDE STORE OR SUPERMARKET*,161
7TH AND METRO CENTER (NOT LINE SPECIFIC),158
STUDIO (FILM/PHOTOGRAPHIC/MUSIC),157
"SPORTS VENUE, OTHER",155
MTA - RED LINE - WILSHIRE/VERMONT,155
FRAT HOUSE/SORORITY/DORMITORY,147
DRIVE THRU*,136
SPORTS ARENA,135
MTA - RED LINE - HOLLYWOOD/VINE,135
ELEVATOR,132
STAIRWELL*,130
"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",130
MTA - RED LINE - HOLLYWOOD/HIGHLAND,130
AUTO SALES LOT,124
MASSAGE PARLOR,122
CHECK CASHING*,122
GOLF COURSE*,121
BUS-CHARTER/PRIVATE,119
TOW YARD*,118
STAPLES CENTER *,117
THE BEVERLY CENTER,114
PUBLIC RESTROOM(INDOORS-INSIDE),113
MUSEUM,110
MTA - EXPO LINE - EXPO/WESTERN,108
MTA - RED LINE - HOLLYWOOD/WESTERN,108
PET STORE,106
MEDICAL MARIJUANA FACILITIES/BUSINESSES,105
MTA - RED LINE - VERMONT/BEVERLY,104
MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,103
ENTERTAINMENT/COMEDY CLUB (OTHER),103
SWAP MEET,103
NURSERY/FLOWER SHOP,102
SYNAGOGUE/TEMPLE,100
MTA - RED LINE - VERMONT/SANTA MONICA,100
SHORT-TERM VACATION RENTAL,99
"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",96
SLIPS/DOCK/MARINA/BOAT,95
UNDERPASS/BRIDGE*,94
RECYCLING CENTER,94
VALET,94
MTA PROPERTY OR PARKING LOT,86
THE BEVERLY CONNECTION,85
DAY CARE/ADULTS*,84
MTA - BLUE LINE - WASHINGTON,83
DETENTION/JAIL FACILITY,83
GUN/SPORTING GOODS,80
MTA - RED LINE - VERMONT/SUNSET,80
METROLINK TRAIN,79
MTA - PURPLE LINE - WILSHIRE/WESTERN,79
PUBLIC RESTROOM/OUTSIDE*,79
BUS STOP/LAYOVER (ALSO QUERY 124),77
DAY CARE/CHILDREN*,77
MTA - EXPO LINE - EXPO/CRENSHAW,77
GREYHOUND OR INTERSTATE BUS,75
FIRE STATION,74
TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,72
RIVER BED*,72
"BUS, SCHOOL, CHURCH",72
MTA - EXPO LINE - EXPO/VERMONT,71
MTA - RED LINE - CIVIC CENTER/GRAND PARK,70
CEMETARY*,68
CREDIT UNION,67
CLEANER/LAUNDROMAT,64
POOL-PUBLIC/OUTDOOR OR INDOOR*,63
MTA - EXPO LINE - LATTC/ORTHO INSTITUTE,63
BOWLING ALLEY*,62
SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,61
MTA - EXPO LINE - EXPO/LA BREA,61
MTA - BLUE LINE - GRAND/LATTC,60
"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*",60
MANUFACTURING COMPANY,59
FACTORY,59
MTA - BLUE LINE - PICO,58
FURNITURE STORE,57
MTA - PURPLE LINE - WILSHIRE/VERMONT,57
MTA - BLUE LINE - 7TH AND METRO CENTER,55
TRAIN TRACKS,54
SKATEBOARD FACILITY/SKATEBOARD PARK*,53
MTA - EXPO LINE - LA CIENEGA/JEFFERSON,51
MTA - BLUE LINE - 103RD/WATTS TOWERS,50
MTA - GOLD LINE - UNION STATION,48
MTA - GREEN LINE - HARBOR FWY,48
MTA - GREEN LINE - AVALON,48
MTA - ORANGE LINE - NORTH HOLLYWOOD,47
"BUS DEPOT/TERMINAL, OTHER THAN MTA",46
SAVINGS & LOAN,45
MTA - GREEN LINE - AVIATION/LAX,45
MTA - BLUE LINE - SAN PEDRO,44
MTA - PURPLE LINE - WILSHIRE/NORMANDIE,43
